stage,candidate,score,mean_cpg,min_cpg,win_fraction,params_json,RandomPlayer,RaisedPlayer,TightPassive,LooseAggr,Raise50,Raise90,PreflopAggroSticky,CallingStation,PressureFolder,ValueRegular,NittyValue,BalancedPressure,ShowdownRegular
coarse,1,523.365,433.99,89.375,0.7308,"{""belief_call_signal"": 0.05, ""belief_check_signal"": -0.03, ""belief_confidence_samples"": 18.0, ""belief_defense_call_scale"": 0.12, ""belief_defense_fold_scale"": 0.3, ""belief_defense_raise_scale"": 0.25, ""belief_late_street_scale"": 0.06, ""belief_pressure_call_scale"": 0.12, ""belief_pressure_fold_scale"": 0.25, ""belief_pressure_raise_scale"": 0.35, ""belief_raise_image_scale"": 0.1, ""belief_raise_signal"": 0.16, ""belief_tight_image_scale"": 0.14, ""belief_weight"": 0.18, ""exploit_enabled"": 1.0, ""field_guard"": 1.0, ""field_guard_strength"": 0.85, ""image_fold_call_scale"": 0.4, ""image_fold_reduce_fold_scale"": 0.7, ""image_raise_surprise_scale"": 0.5, ""maniac_call_boost"": 0.75, ""maniac_fold_cut"": 0.55, ""maniac_raise_cut"": 0.45, ""max_exploit_lambda"": 0.35, ""max_multiplier"": 1.0, ""max_shift"": 0.0, ""min_action_prob"": 0.01, ""min_exploit_signal"": 0.35, ""min_multiplier"": 1.0, ""min_samples"": 999.0, ""nit_facing_call_boost"": 0.25, ""nit_facing_fold_boost"": 0.65, ""nit_facing_raise_cut"": 0.45, ""nit_steal_boost"": 0.65, ""opp_raise_call_bonus"": 0.15, ""opp_raise_call_scale"": 1.4, ""opp_raise_deterrence"": 0.15, ""opp_raise_fold_scale"": 1.8, ""opp_raise_reraise_scale"": -0.4, ""overfolder_pressure_cut"": 0.2, ""overfolder_steal_boost"": 0.85, ""prior"": 1.0, ""station_call_boost"": 0.35, ""station_raise_cut"": 0.55, ""style_confidence_samples"": 28.0, ""style_min_samples"": 6.0, ""style_street_weight"": 0.45, ""vs_our_raise_fold_scale"": 1.0, ""vs_our_raise_reraise_deterrence"": 0.5}",775.625,89.375,621.25,620.625,840.625,210.625,298.75,431.25,979.375,171.875,195.0,276.875,130.625
coarse,2,112.308,362.933,-250.625,0.7163,"{""belief_call_signal"": 0.05, ""belief_check_signal"": -0.03, ""belief_confidence_samples"": 28.0, ""belief_defense_call_scale"": 0.08, ""belief_defense_fold_scale"": 0.18, ""belief_defense_raise_scale"": 0.16, ""belief_late_street_scale"": 0.06, ""belief_pressure_call_scale"": 0.06, ""belief_pressure_fold_scale"": 0.1, ""belief_pressure_raise_scale"": 0.18, ""belief_raise_image_scale"": 0.1, ""belief_raise_signal"": 0.16, ""belief_tight_image_scale"": 0.14, ""belief_weight"": 0.08, ""exploit_enabled"": 1.0, ""field_guard"": 1.0, ""field_guard_strength"": 0.85, ""image_fold_call_scale"": 0.1, ""image_fold_reduce_fold_scale"": 0.18, ""image_raise_surprise_scale"": 0.1, ""maniac_call_boost"": 0.45, ""maniac_fold_cut"": 0.3, ""maniac_raise_cut"": 0.5, ""max_exploit_lambda"": 0.18, ""max_multiplier"": 1.24, ""max_shift"": 0.18, ""min_action_prob"": 0.01, ""min_exploit_signal"": 0.35, ""min_multiplier"": 0.78, ""min_samples"": 10.0, ""nit_facing_call_boost"": 0.2, ""nit_facing_fold_boost"": 0.8, ""nit_facing_raise_cut"": 0.7, ""nit_steal_boost"": 0.25, ""opp_raise_call_bonus"": 0.02, ""opp_raise_call_scale"": 0.45, ""opp_raise_deterrence"": 0.5, ""opp_raise_fold_scale"": 0.3, ""opp_raise_reraise_scale"": -0.55, ""overfolder_pressure_cut"": 0.35, ""overfolder_steal_boost"": 0.3, ""prior"": 2.0, ""station_call_boost"": 0.2, ""station_raise_cut"": 0.65, ""style_confidence_samples"": 45.0, ""style_min_samples"": 10.0, ""style_street_weight"": 0.45, ""vs_our_raise_fold_scale"": 0.35, ""vs_our_raise_reraise_deterrence"": 0.95}",830.625,-213.125,688.125,538.75,680.625,425.0,284.375,563.125,939.375,11.875,-250.625,43.125,176.875
coarse,3,226.442,436.442,-210.0,0.7308,"{""belief_call_signal"": 0.05, ""belief_check_signal"": -0.03, ""belief_confidence_samples"": 28.0, ""belief_defense_call_scale"": 0.08, ""belief_defense_fold_scale"": 0.18, ""belief_defense_raise_scale"": 0.16, ""belief_late_street_scale"": 0.06, ""belief_pressure_call_scale"": 0.06, ""belief_pressure_fold_scale"": 0.1, ""belief_pressure_raise_scale"": 0.18, ""belief_raise_image_scale"": 0.1, ""belief_raise_signal"": 0.16, ""belief_tight_image_scale"": 0.14, ""belief_weight"": 0.08, ""exploit_enabled"": 1.0, ""field_guard"": 1.0, ""field_guard_strength"": 0.85, ""image_fold_call_scale"": 0.1, ""image_fold_reduce_fold_scale"": 0.18, ""image_raise_surprise_scale"": 0.1, ""maniac_call_boost"": 0.45, ""maniac_fold_cut"": 0.3, ""maniac_raise_cut"": 0.5, ""max_exploit_lambda"": 0.1, ""max_multiplier"": 1.24, ""max_shift"": 0.1, ""min_action_prob"": 0.01, ""min_exploit_signal"": 0.35, ""min_multiplier"": 0.78, ""min_samples"": 10.0, ""nit_facing_call_boost"": 0.2, ""nit_facing_fold_boost"": 0.8, ""nit_facing_raise_cut"": 0.7, ""nit_steal_boost"": 0.25, ""opp_raise_call_bonus"": 0.02, ""opp_raise_call_scale"": 0.45, ""opp_raise_deterrence"": 0.5, ""opp_raise_fold_scale"": 0.3, ""opp_raise_reraise_scale"": -0.55, ""overfolder_pressure_cut"": 0.35, ""overfolder_steal_boost"": 0.3, ""prior"": 2.0, ""station_call_boost"": 0.2, ""station_raise_cut"": 0.65, ""style_confidence_samples"": 55.0, ""style_min_samples"": 10.0, ""style_street_weight"": 0.45, ""vs_our_raise_fold_scale"": 0.35, ""vs_our_raise_reraise_deterrence"": 0.95}",951.25,318.125,539.375,761.875,916.875,185.625,120.0,530.0,926.25,145.625,402.5,-210.0,86.25
coarse,4,65.0,344.375,-279.375,0.6779,"{""belief_call_signal"": 0.05, ""belief_check_signal"": -0.03, ""belief_confidence_samples"": 28.0, ""belief_defense_call_scale"": 0.08, ""belief_defense_fold_scale"": 0.18, ""belief_defense_raise_scale"": 0.16, ""belief_late_street_scale"": 0.06, ""belief_pressure_call_scale"": 0.06, ""belief_pressure_fold_scale"": 0.1, ""belief_pressure_raise_scale"": 0.18, ""belief_raise_image_scale"": 0.1, ""belief_raise_signal"": 0.16, ""belief_tight_image_scale"": 0.14, ""belief_weight"": 0.08, ""exploit_enabled"": 1.0, ""field_guard"": 1.0, ""field_guard_strength"": 0.85, ""image_fold_call_scale"": 0.1, ""image_fold_reduce_fold_scale"": 0.18, ""image_raise_surprise_scale"": 0.1, ""maniac_call_boost"": 0.45, ""maniac_fold_cut"": 0.3, ""maniac_raise_cut"": 0.5, ""max_exploit_lambda"": 0.14, ""max_multiplier"": 1.24, ""max_shift"": 0.14, ""min_action_prob"": 0.01, ""min_exploit_signal"": 0.35, ""min_multiplier"": 0.78, ""min_samples"": 10.0, ""nit_facing_call_boost"": 0.2, ""nit_facing_fold_boost"": 0.8, ""nit_facing_raise_cut"": 0.7, ""nit_steal_boost"": 0.25, ""opp_raise_call_bonus"": 0.02, ""opp_raise_call_scale"": 0.45, ""opp_raise_deterrence"": 0.5, ""opp_raise_fold_scale"": 0.3, ""opp_raise_reraise_scale"": -0.55, ""overfolder_pressure_cut"": 0.35, ""overfolder_steal_boost"": 0.3, ""prior"": 2.0, ""station_call_boost"": 0.2, ""station_raise_cut"": 0.65, ""style_confidence_samples"": 50.0, ""style_min_samples"": 10.0, ""style_street_weight"": 0.45, ""vs_our_raise_fold_scale"": 0.35, ""vs_our_raise_reraise_deterrence"": 0.95}",868.125,40.0,360.0,191.875,856.25,520.0,61.875,506.25,954.375,81.875,313.75,1.875,-279.375
coarse,5,225.288,355.288,-130.0,0.7115,"{""belief_call_signal"": 0.05, ""belief_check_signal"": -0.03, ""belief_confidence_samples"": 28.0, ""belief_defense_call_scale"": 0.08, ""belief_defense_fold_scale"": 0.18, ""belief_defense_raise_scale"": 0.16, ""belief_late_street_scale"": 0.06, ""belief_pressure_call_scale"": 0.06, ""belief_pressure_fold_scale"": 0.1, ""belief_pressure_raise_scale"": 0.18, ""belief_raise_image_scale"": 0.1, ""belief_raise_signal"": 0.16, ""belief_tight_image_scale"": 0.14, ""belief_weight"": 0.08, ""exploit_enabled"": 1.0, ""field_guard"": 1.0, ""field_guard_strength"": 0.85, ""image_fold_call_scale"": 0.1, ""image_fold_reduce_fold_scale"": 0.18, ""image_raise_surprise_scale"": 0.1, ""maniac_call_boost"": 0.45, ""maniac_fold_cut"": 0.3, ""maniac_raise_cut"": 0.5, ""max_exploit_lambda"": 0.2, ""max_multiplier"": 1.24, ""max_shift"": 0.22, ""min_action_prob"": 0.01, ""min_exploit_signal"": 0.35, ""min_multiplier"": 0.78, ""min_samples"": 10.0, ""nit_facing_call_boost"": 0.2, ""nit_facing_fold_boost"": 0.8, ""nit_facing_raise_cut"": 0.7, ""nit_steal_boost"": 0.25, ""opp_raise_call_bonus"": 0.02, ""opp_raise_call_scale"": 0.45, ""opp_raise_deterrence"": 0.5, ""opp_raise_fold_scale"": 0.3, ""opp_raise_reraise_scale"": -0.55, ""overfolder_pressure_cut"": 0.35, ""overfolder_steal_boost"": 0.3, ""prior"": 2.0, ""station_call_boost"": 0.2, ""station_raise_cut"": 0.65, ""style_confidence_samples"": 42.0, ""style_min_samples"": 10.0, ""style_street_weight"": 0.45, ""vs_our_raise_fold_scale"": 0.35, ""vs_our_raise_reraise_deterrence"": 0.95}",984.375,-1.25,619.375,344.375,889.375,168.75,-130.0,501.25,961.25,110.0,183.125,-127.5,115.625
coarse,6,300.962,377.837,-76.875,0.7212,"{""belief_call_signal"": 0.05, ""belief_check_signal"": -0.03, ""belief_confidence_samples"": 28.0, ""belief_defense_call_scale"": 0.08, ""belief_defense_fold_scale"": 0.18, ""belief_defense_raise_scale"": 0.16, ""belief_late_street_scale"": 0.06, ""belief_pressure_call_scale"": 0.06, ""belief_pressure_fold_scale"": 0.1, ""belief_pressure_raise_scale"": 0.18, ""belief_raise_image_scale"": 0.1, ""belief_raise_signal"": 0.16, ""belief_tight_image_scale"": 0.14, ""belief_weight"": 0.08, ""exploit_enabled"": 1.0, ""field_guard"": 1.0, ""field_guard_strength"": 0.85, ""image_fold_call_scale"": 0.1, ""image_fold_reduce_fold_scale"": 0.18, ""image_raise_surprise_scale"": 0.1, ""maniac_call_boost"": 0.45, ""maniac_fold_cut"": 0.3, ""maniac_raise_cut"": 0.5, ""max_exploit_lambda"": 0.24, ""max_multiplier"": 1.24, ""max_shift"": 0.28, ""min_action_prob"": 0.01, ""min_exploit_signal"": 0.35, ""min_multiplier"": 0.78, ""min_samples"": 10.0, ""nit_facing_call_boost"": 0.2, ""nit_facing_fold_boost"": 0.8, ""nit_facing_raise_cut"": 0.7, ""nit_steal_boost"": 0.25, ""opp_raise_call_bonus"": 0.02, ""opp_raise_call_scale"": 0.45, ""opp_raise_deterrence"": 0.5, ""opp_raise_fold_scale"": 0.3, ""opp_raise_reraise_scale"": -0.55, ""overfolder_pressure_cut"": 0.35, ""overfolder_steal_boost"": 0.3, ""prior"": 2.0, ""station_call_boost"": 0.2, ""station_raise_cut"": 0.65, ""style_confidence_samples"": 36.0, ""style_min_samples"": 10.0, ""style_street_weight"": 0.45, ""vs_our_raise_fold_scale"": 0.35, ""vs_our_raise_reraise_deterrence"": 0.95}",945.625,-5.0,396.25,233.125,980.0,-76.875,220.0,747.5,911.875,68.75,196.875,123.125,170.625
coarse,7,273.798,384.423,-110.625,0.6971,"{""belief_call_signal"": 0.05, ""belief_check_signal"": -0.03, ""belief_confidence_samples"": 999.0, ""belief_defense_call_scale"": 0.08, ""belief_defense_fold_scale"": 0.18, ""belief_defense_raise_scale"": 0.16, ""belief_late_street_scale"": 0.06, ""belief_pressure_call_scale"": 0.06, ""belief_pressure_fold_scale"": 0.1, ""belief_pressure_raise_scale"": 0.18, ""belief_raise_image_scale"": 0.1, ""belief_raise_signal"": 0.16, ""belief_tight_image_scale"": 0.14, ""belief_weight"": 0.0, ""exploit_enabled"": 1.0, ""field_guard"": 1.0, ""field_guard_strength"": 0.85, ""image_fold_call_scale"": 0.1, ""image_fold_reduce_fold_scale"": 0.18, ""image_raise_surprise_scale"": 0.1, ""maniac_call_boost"": 0.45, ""maniac_fold_cut"": 0.3, ""maniac_raise_cut"": 0.5, ""max_exploit_lambda"": 0.18, ""max_multiplier"": 1.24, ""max_shift"": 0.18, ""min_action_prob"": 0.01, ""min_exploit_signal"": 0.35, ""min_multiplier"": 0.78, ""min_samples"": 10.0, ""nit_facing_call_boost"": 0.2, ""nit_facing_fold_boost"": 0.8, ""nit_facing_raise_cut"": 0.7, ""nit_steal_boost"": 0.25, ""opp_raise_call_bonus"": 0.02, ""opp_raise_call_scale"": 0.45, ""opp_raise_deterrence"": 0.5, ""opp_raise_fold_scale"": 0.3, ""opp_raise_reraise_scale"": -0.55, ""overfolder_pressure_cut"": 0.35, ""overfolder_steal_boost"": 0.3, ""prior"": 2.0, ""station_call_boost"": 0.2, ""station_raise_cut"": 0.65, ""style_confidence_samples"": 45.0, ""style_min_samples"": 10.0, ""style_street_weight"": 0.45, ""vs_our_raise_fold_scale"": 0.35, ""vs_our_raise_reraise_deterrence"": 0.95}",920.625,-110.625,813.125,166.875,863.75,191.875,376.875,272.5,992.5,-57.5,273.75,175.0,118.75
coarse,8,15.913,337.163,-321.25,0.6683,"{""belief_call_signal"": 0.05, ""belief_check_signal"": -0.03, ""belief_confidence_samples"": 40.0, ""belief_defense_call_scale"": 0.08, ""belief_defense_fold_scale"": 0.18, ""belief_defense_raise_scale"": 0.16, ""belief_late_street_scale"": 0.06, ""belief_pressure_call_scale"": 0.06, ""belief_pressure_fold_scale"": 0.1, ""belief_pressure_raise_scale"": 0.18, ""belief_raise_image_scale"": 0.1, ""belief_raise_signal"": 0.16, ""belief_tight_image_scale"": 0.14, ""belief_weight"": 0.05, ""exploit_enabled"": 1.0, ""field_guard"": 1.0, ""field_guard_strength"": 0.85, ""image_fold_call_scale"": 0.1, ""image_fold_reduce_fold_scale"": 0.18, ""image_raise_surprise_scale"": 0.1, ""maniac_call_boost"": 0.45, ""maniac_fold_cut"": 0.3, ""maniac_raise_cut"": 0.5, ""max_exploit_lambda"": 0.18, ""max_multiplier"": 1.24, ""max_shift"": 0.18, ""min_action_prob"": 0.01, ""min_exploit_signal"": 0.35, ""min_multiplier"": 0.78, ""min_samples"": 10.0, ""nit_facing_call_boost"": 0.2, ""nit_facing_fold_boost"": 0.8, ""nit_facing_raise_cut"": 0.7, ""nit_steal_boost"": 0.25, ""opp_raise_call_bonus"": 0.02, ""opp_raise_call_scale"": 0.45, ""opp_raise_deterrence"": 0.5, ""opp_raise_fold_scale"": 0.3, ""opp_raise_reraise_scale"": -0.55, ""overfolder_pressure_cut"": 0.35, ""overfolder_steal_boost"": 0.3, ""prior"": 2.0, ""station_call_boost"": 0.2, ""station_raise_cut"": 0.65, ""style_confidence_samples"": 45.0, ""style_min_samples"": 10.0, ""style_street_weight"": 0.45, ""vs_our_raise_fold_scale"": 0.35, ""vs_our_raise_reraise_deterrence"": 0.95}",795.625,-46.25,701.25,285.0,739.375,237.5,384.375,306.875,950.625,11.875,222.5,-321.25,115.625
coarse,9,508.173,447.548,60.625,0.7452,"{""belief_call_signal"": 0.05, ""belief_check_signal"": -0.03, ""belief_confidence_samples"": 32.0, ""belief_defense_call_scale"": 0.08, ""belief_defense_fold_scale"": 0.18, ""belief_defense_raise_scale"": 0.16, ""belief_late_street_scale"": 0.06, ""belief_pressure_call_scale"": 0.06, ""belief_pressure_fold_scale"": 0.1, ""belief_pressure_raise_scale"": 0.18, ""belief_raise_image_scale"": 0.1, ""belief_raise_signal"": 0.16, ""belief_tight_image_scale"": 0.14, ""belief_weight"": 0.1, ""exploit_enabled"": 1.0, ""field_guard"": 1.0, ""field_guard_strength"": 0.85, ""image_fold_call_scale"": 0.1, ""image_fold_reduce_fold_scale"": 0.18, ""image_raise_surprise_scale"": 0.1, ""maniac_call_boost"": 0.45, ""maniac_fold_cut"": 0.3, ""maniac_raise_cut"": 0.5, ""max_exploit_lambda"": 0.18, ""max_multiplier"": 1.24, ""max_shift"": 0.18, ""min_action_prob"": 0.01, ""min_exploit_signal"": 0.35, ""min_multiplier"": 0.78, ""min_samples"": 10.0, ""nit_facing_call_boost"": 0.2, ""nit_facing_fold_boost"": 0.8, ""nit_facing_raise_cut"": 0.7, ""nit_steal_boost"": 0.25, ""opp_raise_call_bonus"": 0.02, ""opp_raise_call_scale"": 0.45, ""opp_raise_deterrence"": 0.5, ""opp_raise_fold_scale"": 0.3, ""opp_raise_reraise_scale"": -0.55, ""overfolder_pressure_cut"": 0.35, ""overfolder_steal_boost"": 0.3, ""prior"": 2.0, ""station_call_boost"": 0.2, ""station_raise_cut"": 0.65, ""style_confidence_samples"": 45.0, ""style_min_samples"": 10.0, ""style_street_weight"": 0.45, ""vs_our_raise_fold_scale"": 0.35, ""vs_our_raise_reraise_deterrence"": 0.95}",736.25,184.375,470.625,318.125,811.25,373.125,280.0,461.875,971.25,315.625,60.625,354.375,480.625
coarse,10,299.712,403.462,-103.75,0.7067,"{""belief_call_signal"": 0.05, ""belief_check_signal"": -0.03, ""belief_confidence_samples"": 24.0, ""belief_defense_call_scale"": 0.08, ""belief_defense_fold_scale"": 0.18, ""belief_defense_raise_scale"": 0.16, ""belief_late_street_scale"": 0.06, ""belief_pressure_call_scale"": 0.06, ""belief_pressure_fold_scale"": 0.1, ""belief_pressure_raise_scale"": 0.18, ""belief_raise_image_scale"": 0.1, ""belief_raise_signal"": 0.16, ""belief_tight_image_scale"": 0.14, ""belief_weight"": 0.16, ""exploit_enabled"": 1.0, ""field_guard"": 1.0, ""field_guard_strength"": 0.85, ""image_fold_call_scale"": 0.1, ""image_fold_reduce_fold_scale"": 0.18, ""image_raise_surprise_scale"": 0.1, ""maniac_call_boost"": 0.45, ""maniac_fold_cut"": 0.3, ""maniac_raise_cut"": 0.5, ""max_exploit_lambda"": 0.18, ""max_multiplier"": 1.24, ""max_shift"": 0.18, ""min_action_prob"": 0.01, ""min_exploit_signal"": 0.35, ""min_multiplier"": 0.78, ""min_samples"": 10.0, ""nit_facing_call_boost"": 0.2, ""nit_facing_fold_boost"": 0.8, ""nit_facing_raise_cut"": 0.7, ""nit_steal_boost"": 0.25, ""opp_raise_call_bonus"": 0.02, ""opp_raise_call_scale"": 0.45, ""opp_raise_deterrence"": 0.5, ""opp_raise_fold_scale"": 0.3, ""opp_raise_reraise_scale"": -0.55, ""overfolder_pressure_cut"": 0.35, ""overfolder_steal_boost"": 0.3, ""prior"": 2.0, ""station_call_boost"": 0.2, ""station_raise_cut"": 0.65, ""style_confidence_samples"": 45.0, ""style_min_samples"": 10.0, ""style_street_weight"": 0.45, ""vs_our_raise_fold_scale"": 0.35, ""vs_our_raise_reraise_deterrence"": 0.95}",813.75,40.625,484.375,357.5,880.625,253.75,741.25,459.375,942.5,-99.375,193.125,-103.75,281.25
